state,year,sex,age_group,age_group_detail,race,death_rate,death_rate_log,us_crude_rate,us_age_adjusted_rate,deaths,population,death_rate_z_score
United States,1999,Both Sexes,All Ages,All Ages,All Races,6.057,0.8486201174341339,6.0382,6.057,16849,279040238,-1.5466331761195038
United States,2000,Both Sexes,All Ages,All Ages,All Races,6.1749,0.855815852479084,6.1882,6.1749,17415,281421906,-1.5127631295353268
United States,2001,Both Sexes,All Ages,All Ages,All Races,6.7922,0.8916600909164627,6.8057,6.7922,19394,284968955,-1.3354265751976457
United States,2002,Both Sexes,All Ages,All Ages,All Races,8.1957,0.9635847944295808,8.1766,8.1957,23518,287625193,-0.9322322547490223
United States,2003,Both Sexes,All Ages,All Ages,All Races,8.8765,0.9946030680707791,8.8881,8.8765,25785,290107933,-0.7366535633621873
United States,2004,Both Sexes,All Ages,All Ages,All Races,9.3831,1.0163270367393082,9.366,9.3831,27424,292805298,-0.5911186558172833
United States,2005,Both Sexes,All Ages,All Ages,All Races,10.0699,1.0441436976949514,10.0884,10.0699,29813,295516599,-0.3938162979376149
United States,2006,Both Sexes,All Ages,All Ages,All Races,11.4883,1.0965033230123715,11.5373,11.4883,34425,298379912,0.013658460968211612
United States,2007,Both Sexes,All Ages,All Ages,All Races,11.8775,1.1098315585526166,11.9543,11.8775,36010,301231207,0.1254669608033408
United States,2008,Both Sexes,All Ages,All Ages,All Races,11.8947,1.110411242568554,11.9864,11.8947,36450,304093966,0.1304081380827969
United States,2009,Both Sexes,All Ages,All Ages,All Races,11.9388,1.1118939998609243,12.0624,11.9388,37004,306771529,0.1430770868051228
United States,2010,Both Sexes,All Ages,All Ages,All Races,12.2966,1.1237406041242928,12.4144,12.2966,38329,308745538,0.24586506532775704
United States,2011,Both Sexes,All Ages,All Ages,All Races,13.1852,1.1518354633806591,13.2674,13.1852,41340,311591917,0.5011400729163904
United States,2012,Both Sexes,All Ages,All Ages,All Races,13.1422,1.1505169747749024,13.2208,13.1422,41502,313914040,0.4887871297177509
United States,2013,Both Sexes,All Ages,All Ages,All Races,13.8005,1.1702763872579984,13.9127,13.8005,43982,316128839,0.6779020717564601
United States,2014,Both Sexes,All Ages,All Ages,All Races,14.6831,1.1954319116536276,14.7574,14.6831,47055,318857056,0.9314534128522599
United States,2015,Both Sexes,All Ages,All Ages,All Races,16.2923,1.2378527613986483,16.304,16.2923,52404,321418820,1.3937407662301904
United States,2016,Both Sexes,All Ages,All Ages,All Races,19.7851,1.31775211829827,19.6925,19.7851,63632,323127513,2.3971444872583
